,file_name,nodes_original_graph,edges_original_graph,nodes_preprocessed_graph,edges_preprocessed_graph,nodes_diff,edges_diff
32,exact_200.gr,20000,15000,0,0,20000,15000
31,exact_196.gr,7253,6711,1198,1303,6055,5408
29,exact_188.gr,3530,5473,2331,3537,1199,1936
12,exact_122.gr,1505,4700,1159,3318,346,1382
14,exact_134.gr,1813,6384,1621,5529,192,855
15,exact_136.gr,1813,6384,1621,5529,192,855
16,exact_138.gr,1813,6384,1621,5529,192,855
17,exact_140.gr,1813,6384,1621,5529,192,855
18,exact_142.gr,1813,6384,1621,5529,192,855
19,exact_144.gr,1813,6384,1621,5529,192,855
20,exact_146.gr,1813,6384,1621,5529,192,855
21,exact_148.gr,1813,6384,1621,5529,192,855
22,exact_150.gr,1813,6384,1621,5529,192,855
23,exact_152.gr,1814,6387,1622,5532,192,855
13,exact_132.gr,1813,6367,1623,5525,190,842
10,exact_118.gr,1413,3955,1354,3787,59,168
11,exact_120.gr,1488,3777,1436,3639,52,138
25,exact_164.gr,2543,4244,2298,4121,245,123
6,exact_068.gr,103,151,50,73,53,78
7,exact_098.gr,909,2782,836,2711,73,71
4,exact_062.gr,81,155,56,88,25,67
8,exact_100.gr,916,2994,854,2934,62,60
3,exact_056.gr,74,116,42,68,32,48
1,exact_052.gr,66,122,51,80,15,42
26,exact_168.gr,2675,3185,2667,3165,8,20
2,exact_054.gr,73,132,50,114,23,18
27,exact_178.gr,3034,3297,3025,3279,9,18
9,exact_102.gr,1010,3648,991,3634,19,14
24,exact_158.gr,2194,17836,2186,17828,8,8
0,exact_024.gr,40,89,34,83,6,6
5,exact_066.gr,94,98,92,94,2,4
28,exact_180.gr,3086,5764,3086,5764,0,0
30,exact_190.gr,3600,11500,3600,11500,0,0
